NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Blood neutrophil	V neutrophil
MAFB	22.55013637	18.867835245	21.3282081	10.012347578	9.994952672	13.832891	10.246687552	294.5636492	451.54808982	19.86476684	102.112974575	7.433150864	4511.537969	2100.779472	3125.072305	10224.84391	3506.5584435	723.55865935	2948.5020775	2959.202874	25.689118435	218	42.79481823
MAFF	111.0763866	138.10865285	682.3282908	367.2951321	242.6829977	213.0934339	210.7273284	370.4767764	292.6206038	91.095731275	1243.99208305	2067.327094	57.202162905	2913.4721385	589.3220931	494.0327395	955.44006495	3186.89557	153.8093269	1903.9039665	7369.6049035	1	6
MAGEA1	344.2770183	229.13031425	142.1788435	29.15711763	10.85299865	18.62627746	18.97684336	72.61167434	124.44903515	158.019328905	68.089565135	14.55328499	29.445551915	13.76629859	38.59516417	11.55076344	13.76672973	10.112573551	45.228907049	18.9715949005	36.74494669	2	1
MAGEB1	212.9568072	100.731728075	53.85631736	54.747048505	9.685772955	53.86608545	34.25552749	33.72912713	56.07032686	111.622900705	19.7984563025	46.79521414	20.89036213	31.047508345	50.68918156	21.96100044	41.5840288	47.7989488	48.249934285	43.718661935	11.451088459	1	1
MAGEB4	50.70994273	90.06770151	80.76138396	10.933956803	6.094077205	19.88496955	17.32625583	7.223954398	28.7383528	58.044718335	14.286698685	13.46855902	15.889526885	14.342550153	17.65599289	20.56602733	15.516350825	11.47648087	75.00545064	39.262239925	29.683101955	113	12.76246378
MAGEC1	685.6989627	450.54316945	157.8104757	66.234771815	65.36606637	110.1386931	119.8996815	77.83673617	407.328838525	194.79174225	107.73761125	61.43139691	77.74445333	47.5694535	29.40484247	36.82063046	47.48560992	65.10402391	67.9160894	34.464672325	74.396810815	15	1
MAGEC2	673.404605	426.26345345	172.2242838	114.23314352	18.6298409	144.692863	87.36372897	76.46664813	187.683004185	167.8980307	98.736404665	83.06221409	80.73404727	61.347280165	43.45280837	58.50326509	77.924859365	74.15004388	77.08418901	46.2709758	75.22500185	1	1
MAGEH1	93.21849628	150.041173455	1196.770034	514.15460665	645.8040346	626.9092856	445.2561207	3031.483252	542.2724698	675.05080785	371.7784352	330.2212141	216.7152806	125.33017575	128.9209479	284.2978114	117.8483865	99.5709168	550.4314472	308.3311207	260.8880894	177	32
MAGEL2	161.3295658	252.5991174	103.4500208	51.669961685	48.04231825	27.7059216	45.33758075	17.04117203	84.313638855	275.01595415	30.07413203	25.85425072	19.145748535	21.66093733	43.48557908	18.34627363	28.96990008	29.41271295	18.3102692585	15.75999608	105.91111458	88.19557537	11
MAGOHB	327.1770245	229.95775305	448.7216438	403.98210375	271.5693419	346.0251625	1568.429616	383.8860837	199.278290965	195.65078617	399.9678131	1250.350618	272.65323895	315.36737355	324.2935577	178.3702592	328.7656666	518.61556035	324.20308055	366.5610842	31.95661848	45.7968355	5
