NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	VAT.neut	Other.neut
MS4A4A	8.882683409303851	8.321381147108019	4.354761289160083	11.448020277619333	21.219157785058293	11.794504189634276	4.137174399639145	6.624597924442083	27.301560141356255	10.869578094758346	7.732799034468828	6.24898688688442	263.4407857917115	1495.3788937629042	111.64656723235737	3419.590175531403	182.37032215763082	37.54173582385467	179.87127741783047	239.6669125670919	23.25585736386409	61.388588337244116	38.78469165810826
MS4A6A	848.9597636029937	419.92147641732174	187.1017747943528	117.25371624464762	84.07283063714273	114.1150326165618	89.23457722425294	73.14704356386324	1766.0574950696855	281.45978027540355	117.02952662155701	98.73299880049477	7361.915325194714	144.45179557496004	235.57644978112313	13398.358776818182	3068.98587987022	83.02812527499395	489.9020128232455	320.1048073193283	247.90798316727592	473.98095446497706	680.969163368612
MSC	16.848945151469884	23.308472345430975	55.22334456902152	38.934471367523315	22.712155559654928	41.81151867560694	129.02311304668896	18.022810523604456	66.68349098943479	87.89881905433263	30.758280130326916	22.607050631572623	24.537029932827004	418.23501437114453	1215.129649332104	48.63894520455402	374.03748218168204	1460.5337727305111	31.345050213879286	73.86020273558769	36.8169721545031	120.74020376577936	42.00723940688407
MT1M	3.653804780816264	5.226321717948316	5.303888455958308	5.78373585833053	39.99574036527514	6.319711196280401	16.491360847166295	19.072817673897518	4.147790932627131	7.785974826787399	4.5938128525688455	4.782078389034629	3.6104804259181016	14.45475201006764	5056.846651218819	27.515055377227828	9.489377544995985	1383.4878118407623	272.06418593358273	466.32340100361677	2.7682807779600793	93.49217303900662	16.095334173356974
MXD1	14.060972032752423	13.817463682893486	15.12964080754998	33.69712623165647	140.55820581199706	53.63876797725515	32.21629521022558	73.484750820214	52.60177148415712	46.49632210695538	107.64732774055753	31.325170501094348	132.58411590519225	39.68302012821787	66.01193306575526	15.742252836999272	11.872413380553898	131.0096562424278	15.678440035301762	26.364885866555063	1245.4077136633196	3459.4654158564845	2673.636324883816
MYB	212.70600507608555	165.63425178708025	59.326501954519195	447.3318733945083	400.39755264635994	148.18077798044612	600.7358512746313	1458.6628384191856	134.2537978022515	517.8756199801409	418.058948568883	125.57173844023258	166.4346996906608	45.395381243664545	37.71050228666302	57.15560336648597	46.889094529226355	210.25322576364889	3745.5786997453124	4307.179844040691	3079.223952229273	70.87695722134627	83.01638693008883
MYC	867.6044645228825	957.6953898597321	453.4841381801309	1362.1460124106497	2572.261755634378	1684.7444479397916	1812.814292289685	346.646294564148	1049.9798270485162	1092.0204284013428	143.78090839759508	629.9479197842875	122.79234646989889	209.38248279270388	7.9186688877199165	174.86327817079277	117.75968158990072	8.221462826707672	1620.8137604387177	4933.418157969426	207.8382809203959	807.9573471710439	98.13820646818853
MYH1	50.27870058734563	37.60714175596435	42.8595191029068	20.397166999095592	27.1460743874407	25.207893632742888	17.590828350464314	10.828000712298698	126.77871012943834	43.59554214532366	10.753351418306517	20.041877989253795	24.902321775255256	24.05175432189476	11.05653783458854	11.156869513782032	24.679279517194736	24.9581508123267	8.5710265261401	10.202696262929296	31.40727997867399	18.775909145752415	45.590886813019125
MYL2	58.035720402281356	79.71002942843269	230.34677909181147	21.14771195494444	18.153143050201187	18.719512302922514	17.0740344974427	20.139900559388142	14.218273100613331	86.7473659855298	17.999281301957538	40.135847040463496	19.143249030960355	12.38622232501295	29.004693027477412	10.523945042643739	31.928020322972404	38.90339783545497	26.842317979713982	27.16583829632334	64.37251925945638	17.035043088661244	15.908660585265347
MYO10	24.311057770063428	28.850991581543845	11.913017629969353	14.963143569683664	8.543455689494136	14.836537600619755	9.092760944705176	38.33936678028669	41.518942322608986	56.47052941507309	12.90157160894049	12.35261850182847	42.72466777761166	36.043046145661414	1126.324135803349	63.0718580085236	44.37499752034322	62.88970453879007	166.6636838507496	150.30993972081455	47.74625192884737	94.2015341008283	56.76793307032473
