"Entrez"	"Symbol"	"SRR2016907"	"SRR2016908"	"SRR2016914"	"SRR2016915"	"SRR2016916"	"SRR2016917"
"100129794"	"SLC25A21-AS1"	0	0	0	0	20	0
"100129800"	"ZNF807"	42	23	4	13	32	44
"100129827"	"MRVI1-AS1"	12	50	41	108	18	35
"100129836"	"COL4A2-AS2"	0	287	0	0	0	22
"100129842"	"ZNF737"	675	242	210	127	175	206
"100129845"	"PCOLCE-AS1"	0	46	0	7	20	0
"100129858"	"SCOC-AS1"	0	0	10	0	18	0
"100129878"	"LOC100129878"	0	0	5	1	5	6
"100129917"	"LOC100129917"	11	16	25	8	6	5
"100129924"	"TMEM269"	2	22	9	5	6	34
"100129931"	"LOC100129931"	0	29	10	18	9	24
"100129935"	"LOC100129935"	9	0	2	4	2	0
"100129940"	"HMGA2-AS1"	0	9	9	12	5	1
"100129961"	"CCNT2-AS1"	0	0	1	11	8	19
"100129969"	"FAM205C"	0	0	0	0	0	0
"100129973"	"CERNA1"	0	0	1	0	0	0
"100129995"	"LINC01460"	47	6	5	1	3	4
"10013"	"HDAC6"	1173	1459	506	443	1105	768
"100130015"	"URAHP"	19	16	0	0	22	0
"100130017"	"FTLP10"	0	0	0	0	2	0
"100130075"	"LOC100130075"	0	0	3	0	0	0
"100130086"	"HSFX2"	45	7	0	0	64	0
"100130111"	"LOC100130111"	0	2	0	0	6	0
"100130148"	"MAPT-IT1"	0	0	0	0	0	0
"100130155"	"MIR124-2HG"	0	0	0	0	0	0
"100130172"	"LOC100130172"	0	0	1	0	0	0
"100130197"	"EFCAB14-AS1"	0	0	0	0	0	2
"100130207"	"LOC100130207"	12	0	0	20	25	5
"100130231"	"LINC00861"	1	24	68	127	204	44
"100130238"	"LOC100130238"	0	7	0	0	15	0
"100130249"	"PP2672"	0	6	0	0	0	2
"100130264"	"LOC100130264"	0	0	8	3	0	0
"100130268"	"LOC100130268"	0	0	0	0	0	0
"100130274"	"CCDC166"	0	0	0	0	0	0
"100130275"	"TFAP2A-AS1"	0	0	0	0	0	0
"100130283"	"LOC100130283"	74	69	39	16	50	30
"100130298"	"LOC100130298"	0	5	7	16	7	3
"100130301"	"C8orf89"	0	0	0	0	0	0
"100130302"	"SUPT20HL1"	0	0	0	0	0	0
"100130311"	"C17orf107"	323	2816	4462	2014	1906	1954
"100130331"	"LOC100130331"	1155	1465	843	938	795	627
"100130342"	"SCGB2B3P"	0	0	0	0	0	0
"100130348"	"TMEM262"	0	0	13	1	6	0
"100130357"	"LOC100130357"	1016	2131	1972	2870	2457	1763
"100130361"	"CXorf49"	0	252	0	0	0	0
"100130370"	"LOC100130370"	0	0	0	0	2	1
"100130373"	"LOC100130373"	49	46	47	48	70	65
"100130386"	"LINC00552"	0	16	2	0	0	0
"100130417"	"LINC02593"	66	22	0	0	2	0
"100130418"	"CECR7"	22	12	15	0	6	6
"100130449"	"LOC100130449"	0	0	1	8	4	0
"100130451"	"LOC100130451"	20	0	23	1	0	1
"100130460"	"CAND1.11"	23	0	4	0	0	6
"100130476"	"LOC100130476"	1313	3765	6209	4068	3406	4012
"100130480"	"LINC01387"	0	0	0	0	0	0
"100130519"	"TMEM221"	23	6	4	0	1	6
"100130520"	"CD300H"	65	11	5	8	8	18
"100130522"	"PARD6G-AS1"	801	72	39	98	176	33
"100130539"	"C10orf142"	0	18	0	0	0	0
"100130548"	"LOC100130548"	22	21	8	0	34	21
"100130557"	"NFYC-AS1"	0	0	14	41	19	13
"100130581"	"LINC00910"	36	56	76	89	66	40
"100130587"	"LOC100130587"	0	0	0	0	0	0
"100130613"	"PRR32"	0	96	0	0	0	0
"100130673"	"LOC100130673"	0	26	0	0	0	0
"100130691"	"LOC100130691"	28	27	7	2	72	43
"100130700"	"TP53TG3HP"	0	0	0	0	0	0
"100130705"	"ATP6V1FNB"	59	62	39	62	113	39
"100130717"	"HDHD5-AS1"	0	0	0	0	0	0
"100130733"	"LRRC70"	45	477	91	108	121	48
"100130742"	"LRRC69"	76	0	11	11	5	1
"100130771"	"EFCAB10"	19	0	10	0	0	8
"100130776"	"AGAP2-AS1"	0	0	16	35	20	9
"100130827"	"SBK3"	0	0	4	0	0	3
"100130849"	"LOC100130849"	0	0	0	0	0	0
"100130855"	"USP3-AS1"	39	10	57	29	53	83
"100130872"	"LOC100130872"	0	63	21	53	31	1
"100130880"	"LOC100130880"	0	0	1	0	0	0
"100130887"	"ATE1-AS1"	0	0	0	0	0	0
"100130889"	"PSORS1C3"	19	20	11	15	24	20
"100130890"	"TSTD3"	0	13	2	0	0	7
"100130894"	"VAC14-AS1"	0	25	1	2	14	5
"100130933"	"SMIM6"	118	17	2	13	23	0
"100130934"	"ZNF663P"	0	0	0	0	0	0
"100130935"	"CSAG4"	0	0	0	0	0	0
"100130950"	"LOC100130950"	23	2	3	0	14	22
"100130954"	"LINC01502"	3	5	5	3	5	4
"100130958"	"SYCE1L"	7	13	4	0	13	12
"100130964"	"LOC100130964"	0	0	0	0	0	0
"100130967"	"C6orf99"	22	71	3	11	7	26
"100130987"	"LOC100130987"	24	14	10	0	2	1
"100130988"	"SPATA48"	0	0	0	0	0	0
"100130992"	"LOC100130992"	0	8	5	30	8	11
"100131017"	"ZNF316"	1246	2586	988	1118	1401	1847
"100131047"	"LOC100131047"	0	0	0	0	0	0
"100131060"	"LINC01135"	11	0	6	9	12	0
