"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","enriched.in"
"146","VIM",757.79731446712,-2.37100690334713,0.609193731128015,-3.89204087664666,9.94044914328712e-05,0.0083921901465861,"Lean"
"147","LOC158376",66.9740250419938,-6.01997370416575,1.54856998017034,-3.88744052981291,0.000101306797208101,0.00849460940399358,"Lean"
"148","IFT27",14.3725077501303,-6.98159521017355,1.79770109873181,-3.88362404356248,0.000102910992212909,0.00857081682443458,"Lean"
"149","ARHGEF39",14.6615143430157,-7.74617737120341,2.00247499279188,-3.86830167621897,0.000109596022438155,0.00905023128658185,"Lean"
"150","OR2M3",50.7472097612444,-7.14374588156486,1.84731197190726,-3.8671031153386,0.000110135866703495,0.00905023128658185,"Lean"
"151","NINL",36.3175715094295,-8.54452341129904,2.21118543856168,-3.86422742402692,0.000111441355913008,0.00909686194028961,"Lean"
"152","POU5F1P4",143.743422609349,-5.72173018441392,1.48271592147536,-3.85895241397325,0.00011387410587665,0.00917393613748748,"Lean"
"153","SSH2",4541.16467343342,1.71766663819479,0.445097729596638,3.85907751035127,0.00011381583804545,0.00917393613748748,"Obese"
"154","SLC20A1",451.2163973107,2.08040078735167,0.54038381877726,3.84985766609193,0.000118186484625185,0.00945952343824692,"Obese"
"155","ITGB7",18.3110600588919,-6.1293426978068,1.59541661620931,-3.84184459127049,0.000122113147521539,0.00971075262161604,"Lean"
"156","KRTAP26-1",26.2687189608175,-8.37561466842712,2.18655051369501,-3.83051505829303,0.000127875306995894,0.0101037886796884,"Lean"
"157","SHISA4",33.9646183535963,-5.80620007143518,1.51782158614676,-3.82535083466244,0.000130585984361774,0.0102522474091925,"Lean"
"158","AMELX",35.048985806007,-8.48776233781441,2.22000981683989,-3.82329946175484,0.000131677693162559,0.0102669072225714,"Lean"
"159","PLIN1",130.717408819279,-6.42797296078436,1.68188808323186,-3.82187912790998,0.000132438605256276,0.0102669072225714,"Lean"
"160","GUSB",105.699066386979,-3.84687303771176,1.00741126252015,-3.8185725937671,0.0001342260871377,0.0103404421878706,"Lean"
"161","RPL39",189.97918585753,-3.1968879198686,0.838147553436235,-3.81423044995122,0.000136607949025692,0.0104585688179545,"Lean"
"162","NRXN1",21.7590129625993,-8.40033599382706,2.20595350895253,-3.80802948010263,0.000140078576815694,0.0106580773940139,"Lean"
"163","ZNF20",35.5644035751638,-9.16959647923047,2.41024249869773,-3.80442900836114,0.000142131665958349,0.0107479442613657,"Lean"
"164","ACSS3",19.019075921966,-5.57008557190233,1.46718876028143,-3.79643418944535,0.00014679230818569,0.0107700118493858,"Lean"
"165","BBS12",42.8696551518023,-8.0819372140936,2.12854297354361,-3.7969340128655,0.000146496765328138,0.0107700118493858,"Lean"
"166","CYCSP52",100.097259958893,-4.3830504702502,1.1533439585899,-3.80029776685961,0.000144522321942102,0.0107700118493858,"Lean"
"167","EIF4B",77.1214034517881,-4.342892454146,1.14327740456248,-3.79863402951446,0.000145495742954414,0.0107700118493858,"Lean"
"168","MEPCE",655.218818919432,1.78603503979345,0.469776264058023,3.80188437867276,0.000143599741334511,0.0107700118493858,"Obese"
"169","PRM1",35.695016318642,-9.17588761298472,2.4198089845814,-3.79198840546996,0.000149445893035789,0.0108998229441369,"Lean"
"170","CLEC14A",89.9022032204555,-6.40101299187997,1.6896366318603,-3.78839619784546,0.000151622917939026,0.0109935534500966,"Lean"
"171","PPM1A",83.7140597389553,-1.65353213637571,0.436869906302603,-3.78495316917155,0.000153737525929478,0.0110816885649518,"Lean"
"172","CYB5R4",39.0933137048015,-2.58116681804354,0.682599830575158,-3.78137629461269,0.00015596371841246,0.0111767953090231,"Lean"
"173","PACSIN1",33.0083749114974,-7.12256614177045,1.88466414433889,-3.77922303194711,0.000157318469763324,0.0112087136318077,"Lean"
"174","ALOX15",32.9551940006318,-6.0615290442443,1.60975551511168,-3.76549667781308,0.000166218333785725,0.0116478283665378,"Lean"
"175","GOLGA6L1",132.423967833528,-4.62890980383059,1.22934413004938,-3.76534909199483,0.000166316549773702,0.0116478283665378,"Lean"
