"Gene","airspace","bldvat","endotox","exercise","lcanc","sepsis","syno","tb"
"ATP11A",0,0,0,0,0,0,1,0
"ATP11B",1,0,0,0,1,0,0,0
"ATP11C",0,0,0,0,0,0,1,0
"ATP13A2",0,0,0,0,0,0,1,0
"ATP2A3",1,0,0,0,0,0,1,0
"ATP2B1",0,0,0,0,0,1,0,0
"ATP5D",0,1,0,0,0,0,0,0
"ATP5E",1,1,0,0,0,0,0,0
"ATP5F1C",0,0,0,0,0,0,1,0
"ATP5I",0,1,0,0,0,0,0,0
"ATP5J",0,1,0,0,0,0,0,0
"ATP5L",0,1,0,0,0,0,0,0
"ATP5L2",0,1,0,0,0,0,0,0
"ATP5MC3",0,0,0,0,0,0,1,0
"ATP5SL",0,1,0,0,0,0,0,0
"ATP6",0,0,0,0,0,1,0,0
"ATP6AP2",0,0,0,0,0,1,0,0
"ATP6V0A1",1,0,0,0,0,1,1,0
"ATP6V0B",1,0,0,0,0,0,0,0
"ATP6V0C",0,0,0,0,0,0,1,0
"ATP6V0E1",1,0,0,0,0,0,0,0
"ATP6V0E2",0,1,0,0,0,0,1,0
"ATP6V1A",1,0,0,0,0,1,0,0
"ATP6V1B2",0,1,0,0,0,1,0,0
"ATP6V1C2",0,0,0,0,0,1,0,0
"ATP6V1G1",0,0,0,0,0,1,0,0
"ATP6V1H",0,1,0,0,0,0,0,0
"ATP7A",1,0,0,0,0,1,0,0
"ATP7B",0,0,0,0,0,0,1,0
"ATP8A1",1,0,0,0,0,0,1,0
"ATP8B2",0,1,0,0,0,0,0,0
"ATP8B4",0,0,0,0,0,0,1,0
"ATP9A",0,0,0,0,0,0,1,0
"ATPAF1",0,1,0,0,0,0,0,0
"ATPAF2",0,0,0,0,0,0,1,0
"ATPIF1",0,1,0,0,0,0,0,0
"ATR",0,1,0,0,0,0,0,0
"ATRIP",0,1,0,0,0,0,0,0
"ATRN",0,0,0,0,0,0,1,0
"ATRX",0,0,0,0,0,1,0,0
"ATXN10",0,1,0,0,0,0,1,0
"ATXN1L",0,0,0,0,1,1,1,0
"ATXN2",0,0,0,0,0,0,1,0
"ATXN7",0,0,0,0,1,1,0,0
"ATXN7L1",0,1,0,0,0,0,0,0
"ATXN7L3",0,0,0,0,1,0,0,0
"ATXN7L3B",0,1,0,0,0,0,1,0
"AU144530",1,0,0,0,0,0,0,0
"AU147598",1,0,0,0,0,0,0,0
"AU147620",1,0,0,0,0,0,0,0
"AUH",1,0,0,0,0,0,0,0
"AURKA",0,0,0,0,0,0,1,0
"AURKAPS1",0,1,0,0,0,0,0,0
"AVEN",0,1,0,0,0,0,0,0
"AVIL",1,0,0,0,0,0,0,0
"AVPR2",0,1,0,0,0,0,0,0
"AW973791",1,0,0,0,0,0,0,0
"AWAT1",0,1,0,0,0,0,0,0
"AXIN1",1,0,0,0,0,0,1,0
"AXL",0,0,0,0,1,0,0,0
"AZI2",0,0,0,0,1,0,0,0
"AZU1",0,0,0,0,0,0,1,0
"B2M",0,0,0,0,0,1,0,0
"B3GALNT2",0,1,0,0,0,0,0,0
"B3GALT4",0,1,0,0,0,0,0,0
"B3GAT1",0,1,0,0,0,0,0,0
"B3GNT2",0,1,0,0,0,0,0,0
"B3GNT9",0,0,0,0,0,0,1,0
"B4GALNT1",0,1,0,0,0,0,0,0
"B4GALT6",0,1,0,0,0,0,1,0
"BACE2",0,1,0,0,0,0,0,0
"BAG2",0,1,0,0,0,0,0,0
"BAG5",0,0,0,0,0,1,0,0
"BAI2",0,1,0,0,0,0,0,0
"BAIAP2",1,0,0,0,0,0,1,0
"BAIAP2-DT",0,0,0,0,0,0,1,0
"BAIAP3",0,0,0,0,0,0,1,0
"BANF1",0,1,0,0,0,0,0,0
"BANK1",0,0,0,0,0,0,1,0
"BANP",0,0,0,0,0,1,0,1
"BAP1",0,0,0,0,0,1,0,0
"BASP1",1,0,0,0,0,0,0,0
"BATF2",0,0,0,0,0,1,0,0
"BAZ1A",0,0,0,0,0,1,0,0
"BAZ2A",0,0,0,0,1,1,0,0
"BAZ2B",1,0,0,0,1,1,0,0
"BBIP1",0,1,0,0,0,1,0,0
"BBS10",0,1,0,0,0,0,0,0
"BBS2",0,1,0,0,0,0,1,0
"BBS4",0,1,0,0,0,0,0,0
"BBS5",0,0,0,0,0,0,1,0
"BBS7",0,1,0,0,0,0,0,0
"BBS9",0,0,0,0,0,0,1,0
"BCAP29",0,1,0,0,0,0,0,0
"BCAP31",1,0,0,0,0,0,1,0
"BCAS1",0,0,0,0,0,0,1,0
"BCAS3",0,0,0,0,0,0,1,0
"BCAT2",0,1,0,0,0,0,0,0
"BCL2L1",0,1,0,0,0,0,0,0
"BCL2L11",0,1,0,0,0,0,0,0
"BCL2L12",0,1,0,0,0,0,0,0
"BCL3",0,0,0,0,1,0,0,0
"BCL6",1,0,0,0,1,0,0,0
"BCLAF1",0,0,0,0,0,1,0,0
"BCOR",0,1,0,0,0,1,0,0
"BCORL1",1,0,0,0,0,0,1,0
"BCR",1,0,0,0,0,0,1,0
"BCS1L",0,1,0,0,0,0,0,0
"BDP1",0,0,0,0,0,0,1,0
"BEAN1-AS1",0,0,0,0,1,0,0,0
"BECN1",0,1,0,0,1,0,0,0
"BEND5",0,1,0,0,0,0,0,0
"BEND7",0,0,0,0,0,0,1,0
"BEST3",0,1,0,0,0,0,0,0
"BEX2",0,0,0,0,0,0,1,0
"BFSP1",0,1,0,0,0,0,0,0
"BFSP2-AS1",0,0,0,0,0,0,1,0
"BHLHB2",0,0,0,0,0,0,0,1
"BHLHE22",0,1,0,0,0,0,0,0
"BHLHE23",0,1,0,0,0,0,0,0
"BHLHE41",0,0,0,0,1,0,0,0
"BICD2",1,0,0,0,1,0,1,0
"BIK",0,1,0,0,0,0,0,0
"BIN2",1,0,0,0,1,0,1,0
"BIN3",1,0,0,0,1,0,0,0
"BIN3-IT1",1,0,0,0,0,0,0,0
"BIRC5",0,1,0,0,0,0,0,0
"BIRC6",0,0,0,0,0,1,0,0
"BIRC6-AS2",0,0,0,0,1,0,0,0
"BLID",0,1,0,0,0,0,0,0
"BLMH",0,0,0,0,0,0,1,0
"BLOC1S1",1,1,0,0,0,0,0,0
"BLOC1S2",0,0,0,0,1,0,0,0
"BLOC1S3",0,1,0,0,0,0,0,0
"BLOC1S4",0,1,0,0,0,0,0,0
"BLOC1S5",0,1,0,0,0,0,0,0
"BLVRA",0,1,0,0,0,0,0,0
"BLZF1",0,1,0,0,0,0,0,0
"BMF",0,1,0,0,0,0,0,0
"BMP7",1,0,0,0,0,0,0,0
